drug_id,protein_id,affinity
26799,1834,5.187086643357144
26798,1834,4.481486060122113
19212,1038,4.922331981267469
2112,466,7.7423214251308154
2111,466,5.148130399270234
20641,351,4.013228265733755
27024,1864,3.4989407377822483
2880,678,3.638272163982407
26763,1833,3.5228787452803374
26740,1087,5.789949150124863
26740,1528,6.0101054362812265
23878,1488,4.735182176990463
23876,1488,5.086186147616283
31565,1942,5.301029995663981
23423,1610,7.958607314841775
31187,856,4.42021640338319
29592,780,5.221246399047171
18699,1111,5.0
20162,1349,7.154901959985743
20163,1349,6.987162775294828
20151,1349,6.054039296422431
20157,1349,6.3979400086720375
20155,1349,6.115771230367396
7331,65,5.318758762624412
7331,64,5.4685210829577455
7331,52,7.199346156972135
7331,768,7.301029995663981
19610,182,4.818156412055227
20139,1349,7.200659450546418
20141,1349,6.962573502059376
20131,1349,6.3124710387853655
20135,1349,6.443697499232712
20140,1349,5.698970004336019
20142,1349,5.698970004336019
20132,1349,5.698970004336019
20136,1349,5.698970004336019
26764,1833,3.795880017344075
15125,1306,2.839831707041488
15125,880,2.839831707041488
20371,833,2.5228787452803374
20642,351,3.9030899869919438
20640,351,3.496209316942819
31186,856,4.366531544420414
31176,856,3.2732727909734276
25658,235,4.022276394711152
31484,2124,5.0915149811213505
8852,486,9.0
3064,730,5.508638306165727
3063,730,6.8236516097447435
3070,730,7.112351128555791
17122,928,8.823908740944319
30700,1013,5.136677139879544
32316,2185,4.795880017344075
18742,604,8.327902142064282
18727,604,6.337242168318426
26308,177,5.309803919971486
29345,1218,2.0
19965,1112,6.0
27733,113,9.0268721464003
18724,604,6.43533393574791
31315,1701,7.1938200260161125
17432,933,5.7447274948966935
19572,1281,6.560667306169737
19573,1281,7.229147988357855
31481,2124,4.943095148663527
13641,781,6.698970004336019
13641,391,5.682563996779291
13659,391,3.0
30970,2093,6.0
31420,1812,5.284248368561942
17175,929,4.031517051446065
24606,507,4.327902142064283
21358,507,5.337242168318426
21464,1128,8.214670164989233
31501,2051,7.075720713938118
34604,828,3.5528419686577806
32049,2158,6.045757490560675
32050,2158,5.42021640338319
22401,1506,4.821185014021618
22398,1506,4.560667306169737
33396,1942,6.522878745280337
21821,984,7.314096770746292
16245,909,8.0
16245,132,4.522878745280337
16245,910,4.809668301829708
27730,113,9.200659450546418
